"site_id","site_name","lat","lon","state","us_l3code","us_l3name","ag_eco9","huc8","source"
"NRS18_IL_10012","NRS18_IL_10012",41.900017,-89.48215,"Illinois","54","Central Corn Belt Plains","TPL","H07090005","NRSA 2018-19"
"NRS18_RI_10183","NRS18_RI_10183",41.478426,-71.684355,"Rhode Island","59","Northeastern Coastal Zone","NAP","H01090005","NRSA 2018-19"
"NRS18_IL_10024","NRS18_IL_10024",41.713759,-89.906751,"Illinois","54","Central Corn Belt Plains","TPL","H07090005","NRSA 2018-19"
"NRS18_WA_10212","NRS18_WA_10212",46.259308,-117.311102,"Washington","10","Columbia Plateau","XER","H17060103","NRSA 2018-19"
"NRS18_RI_10194","NRS18_RI_10194",41.979221,-71.709464,"Rhode Island","59","Northeastern Coastal Zone","NAP","H01090003","NRSA 2018-19"
"NRS18_CA_10056","NRS18_CA_10056",36.779035,-120.233343,"California","7","Central California Valley","XER","H18040001","NRSA 2018-19"
"NRS18_AL_10007","NRS18_AL_10007",33.412813,-86.751899,"Alabama","67","Ridge and Valley","SAP","H03150202","NRSA 2018-19"
"NRS18_AL_10002","NRS18_AL_10002",34.950922,-87.042028,"Alabama","71","Interior Plateau","SAP","H06030004","NRSA 2018-19"
"NRS18_NE_10029","NRS18_NE_10029",40.037535,-96.488892,"Nebraska","47","Western Corn Belt Plains","TPL","H10270205","NRSA 2018-19"
"NRS18_UT_10008","NRS18_UT_10008",37.743063,-112.098591,"Utah","19","Wasatch and Uinta Mountains","WMT","H16030002","NRSA 2018-19"
"NRS18_KS_10005","NRS18_KS_10005",37.881647,-95.676007,"Kansas","40","Central Irregular Plains","TPL","H11070204","NRSA 2018-19"
"NRS18_SD_10003","NRS18_SD_10003",43.241115,-99.187157,"South Dakota","42","Northwestern Glaciated Plains","NPL","H10140101","NRSA 2018-19"
"NRS18_NV_10638","NRS18_NV_10638",41.025402,-115.53004,"Nevada","13","Central Basin and Range","XER","H16040102","NRSA 2018-19"
"NRS18_RI_10003","NRS18_RI_10003",41.848045,-71.786838,"Rhode Island","59","Northeastern Coastal Zone","NAP","H01090004","NRSA 2018-19"
"NRS18_PA_10020","NRS18_PA_10020",41.648131,-75.786121,"Pennsylvania","60","Northern Allegheny Plateau","NAP","H02050106","NRSA 2018-19"
"NRS18_NY_10035","NRS18_NY_10035",43.80096,-75.466686,"New York","83","Eastern Great Lakes Lowlands","NAP","H04150101","NRSA 2018-19"
"NRS18_AR_10010","NRS18_AR_10010",35.601838,-89.90212,"Arkansas","73","Mississippi Alluvial Plain","CPL","H08010100","NRSA 2018-19"
"NRS18_NE_10021","NRS18_NE_10021",41.4629,-95.955353,"Nebraska","47","Western Corn Belt Plains","TPL","H10230006","NRSA 2018-19"
"NRS18_AL_10016","NRS18_AL_10016",33.584831,-87.095723,"Alabama","68","Southwestern Appalachians","SAP","H03160111","NRSA 2018-19"
"NRS18_ND_10023","NRS18_ND_10023",46.092856,-103.035223,"North Dakota","43","Northwestern Great Plains","NPL","H10130301","NRSA 2018-19"
"NRS18_IA_10019","NRS18_IA_10019",43.092862,-91.176583,"Iowa","52","Driftless Area","UMW","H07060001","NRSA 2018-19"
"NRS18_IA_10042","NRS18_IA_10042",43.109755,-91.176453,"Iowa","52","Driftless Area","UMW","H07060001","NRSA 2018-19"
"NRS18_OK_10923","NRS18_OK_10923",33.968242,-94.740459,"Oklahoma","35","South Central Plains","CPL","H11140107","NRSA 2018-19"
"NRS18_WI_10243","NRS18_WI_10243",45.914339,-88.722243,"Wisconsin","50","Northern Lakes and Forests","UMW","H04030108","NRSA 2018-19"
"NRS18_TX_10013","NRS18_TX_10013",31.762476,-100.140482,"Texas","26","Southwestern Tablelands","SPL","H12090101","NRSA 2018-19"
"NRS18_CO_RF002","NRS18_CO_RF002",40.1307,-105.52889,"Colorado","21","Southern Rockies","WMT","H10190005","NRSA 2018-19"
"NRS18_ID_10012","NRS18_ID_10012",43.963471,-116.189154,"Idaho","16","Idaho Batholith","WMT","H17050122","NRSA 2018-19"
"NRS18_NV_10195","NRS18_NV_10195",41.988899,-114.99595,"Nevada","80","Northern Basin and Range","XER","H17040213","NRSA 2018-19"
"NRS18_AR_10018","NRS18_AR_10018",33.63585,-93.906379,"Arkansas","35","South Central Plains","CPL","H11140109","NRSA 2018-19"
"NRS18_CA_10020","NRS18_CA_10020",36.908817,-119.776228,"California","7","Central California Valley","XER","H18040001","NRSA 2018-19"
"NRS18_UT_10027","NRS18_UT_10027",37.771499,-112.389483,"Utah","19","Wasatch and Uinta Mountains","WMT","H16030001","NRSA 2018-19"
"NRS18_WA_10038","NRS18_WA_10038",48.469911,-120.17568,"Washington","10","Columbia Plateau","XER","H17020008","NRSA 2018-19"
"NRS18_SD_10031","NRS18_SD_10031",43.179588,-99.041169,"South Dakota","42","Northwestern Glaciated Plains","NPL","H10140101","NRSA 2018-19"
"NRS18_CA_10324","NRS18_CA_10324",37.499352,-118.141243,"California","13","Central Basin and Range","XER","H18090201","NRSA 2018-19"
"NRS18_DE_10015","NRS18_DE_10015",39.81747,-75.642293,"Delaware","64","Northern Piedmont","SAP","H02040205","NRSA 2018-19"
"NRS18_IA_RF001","NRS18_IA_RF001",40.83555,-93.85719,"Iowa","40","Central Irregular Plains","TPL","H10280102","NRSA 2018-19"
