cycle,database_style_key,epa_short_name,indicator,source_dataset,epa_definition_what_it_measures,sample_or_record_type_s,legal_values_format,range_low,range_high,definition_status,convenience_prefix,appears_in_count_datasets,metadata_record_count
1819,algaltox_SAM_CODE,SAM_CODE,Algal Toxin,NRSA 1819 Algal Toxin,"Sample code (Regular/Lab duplicate/Lab split) | Sample code (e.g., regular, lab duplicate, lab split)",COLUMN,,,,Multiple protocol-specific labels — see Metadata Detail,algaltox,6,2
1819,algaltox_SAMPLE_ID,SAMPLE_ID,Algal Toxin,NRSA 1819 Algal Toxin,Algal toxin (MICZ) sample id,MICX | MICZ,,,,Same label appears for multiple sample/record types,algaltox,3,2
1819,algaltox_SAMPLE_TYPE,SAMPLE_TYPE,Algal Toxin,NRSA 1819 Algal Toxin,"Code identifying sample type: MICX=Microcystin, CYLSPER=Cylindrospermopsin, MICZ=Microcystin in legacy bottle type",COLUMN,,,,Single metadata definition,algaltox,9,1
1819,algaltox_SITE_ID,SITE_ID,Algal Toxin,NRSA 1819 Algal Toxin,"Site ID for the study and year sampled. Preferred form is NRSnn_MM-xxxxx where nn is current cycle year (04, 08, 13, 18, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. Text. No missing values allowed. | Identification code for site",DESIGN | VERIF,,,,Multiple protocol-specific labels — see Metadata Detail,algaltox,16,2
1819,algaltox_STATE,STATE,Algal Toxin,NRSA 1819 Algal Toxin,State of site | State,COLUMN | VERIF,|AK|AL|AR|AZ|CA|CO|CT|DC|DE|FL|GA|HI|IA|ID|IL|IN|KS|KY|LA|MA|MD|ME|MI|MN|MO|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OK|OR|PA|RI|SC|SD|TN|TX|UT|VA|VT|WA|WI|WV|WY,,,Multiple protocol-specific labels — see Metadata Detail,algaltox,13,2
1819,algaltox_UID,UID,Algal Toxin,NRSA 1819 Algal Toxin,Unique identifier for the site/visit | Unique site visit ID,COLUMN,,,,Multiple protocol-specific labels — see Metadata Detail,algaltox,15,2
1819,algaltox_VISIT_NO,VISIT_NO,Algal Toxin,NRSA 1819 Algal Toxin,Sequential number of visit to site,VERIF,|1|2|R,,,Single metadata definition,algaltox,15,1
1819,benthic_count_AG_ECO9,AG_ECO9,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate Count,"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions",DESIGN,CPL|NAP|NPL|SAP|SPL|TPL|UMW|WMT|XER|,,,Single metadata definition,benthic_count,11,1
1819,benthic_count_CLASS,CLASS,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate Count,Class of taxon,TAXA: Invertebrates,,,,Single metadata definition,benthic_count,1,1
1819,benthic_count_DATE_COL,DATE_COL,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate Count,Date collected,VERIF,|01|02|03|04|05|06|07|08|09|10|11|12,,,Single metadata definition,benthic_count,15,1
1819,benthic_count_EPA_REG,EPA_REG,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate Count,EPA Region,DESIGN,Region_01|Region_02|Region_03|Region_04|Region_05|Region_06|Region_07|Region_08|Region_09|Region_10|,,,Single metadata definition,benthic_count,10,1
1819,benthic_count_FAMILY,FAMILY,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate Count,Family of taxon,TAXA: Invertebrates,,,,Single metadata definition,benthic_count,1,1
1819,benthic_count_FFG,FFG,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate Count,"Functional feeding group used in metric calculations;Collector-filterer(CF),Collector-gatherer(CG),Parasite(PA),Piercer(PI),Scraper(SC),Shredder(SH)",TAXA: Invertebrates,,,,Single metadata definition,benthic_count,1,1
1819,benthic_count_GENUS,GENUS,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate Count,Genus of taxon,TAXA: Invertebrates,,,,Single metadata definition,benthic_count,1,1
1819,benthic_count_HABIT,HABIT,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate Count,"Habit used in metric calculations;Burrower(BU),Climber(CB),Clinger(CN),Diver(DV),Planktonic(PK),Skater(SK),Sprawler(SP),Swimmer(SW)",TAXA: Invertebrates,,,,Single metadata definition,benthic_count,1,1
1819,benthic_count_IS_DISTINCT,IS_DISTINCT,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate Count,Distinctness of taxon within sample,BERW | BETB,0|1,,,Same label appears for multiple sample/record types,benthic_count,2,2
1819,benthic_count_IS_DISTINCT300,IS_DISTINCT300,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate Count,Distinctness in 300 organism subsample,BERW | BETB,0|1,,,Same label appears for multiple sample/record types,benthic_count,1,2
1819,benthic_count_NON_TARGET,NON_TARGET,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate Count,Operational taxon unit for NRSA O/E,TAXA: Invertebrates,,,,Single metadata definition,benthic_count,1,1
1819,benthic_count_ORDER,ORDER,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate Count,Order of taxon,TAXA: Invertebrates,,,,Single metadata definition,benthic_count,1,1
1819,benthic_count_PHYLUM,PHYLUM,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate Count,Phylum of taxon,TAXA: Invertebrates,,,,Single metadata definition,benthic_count,1,1
1819,benthic_count_PTV,PTV,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate Count,Pollution tolerance value as assigned for NWSA,TAXA: Invertebrates,,,,Single metadata definition,benthic_count,1,1
1819,benthic_count_SAMPLE_TYPE,SAMPLE_TYPE,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate Count,Code identifying sample type,,,,,Single metadata definition,benthic_count,9,1
1819,benthic_count_SITE_ID,SITE_ID,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate Count,"Site ID for the study and year sampled. Preferred form is NRSnn_MM-xxxxx where nn is current cycle year (04, 08, 13, 18, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. Text. No missing values allowed. | Identification code for site",DESIGN | VERIF,,,,Multiple protocol-specific labels — see Metadata Detail,benthic_count,16,2
1819,benthic_count_SITESAMP,SITESAMP,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate Count,Did you sample this site (Y/N),VERIF,|Y|N,,,Single metadata definition,benthic_count,3,1
1819,benthic_count_STATE,STATE,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate Count,State,VERIF,|AK|AL|AR|AZ|CA|CO|CT|DC|DE|FL|GA|HI|IA|ID|IL|IN|KS|KY|LA|MA|MD|ME|MI|MN|MO|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OK|OR|PA|RI|SC|SD|TN|TX|UT|VA|VT|WA|WI|WV|WY,,,Single metadata definition,benthic_count,13,1
1819,benthic_count_SUBFAMILY,SUBFAMILY,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate Count,Subfamily of taxon,TAXA: Invertebrates,,,,Single metadata definition,benthic_count,1,1
1819,benthic_count_TARGET_TAXON,TARGET_TAXON,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate Count,Taxaname at target hierarchical taxonomic level,BENT,,,,Single metadata definition,benthic_count,1,1
1819,benthic_count_TAXA_ID,TAXA_ID,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate Count,NLA Taxon ID number,,,,,Single metadata definition,benthic_count,2,1
1819,benthic_count_TOTAL,TOTAL,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate Count,Total number of individuals counted | Total number of individuals sorted for given taxon,BENT | BERW | BETB,,,,Multiple protocol-specific labels — see Metadata Detail,benthic_count,2,3
1819,benthic_count_TOTAL300,TOTAL300,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate Count,Total of given taxon using subsampling.exe for 300 organism subsample,BERW | BETB,,,,Same label appears for multiple sample/record types,benthic_count,1,2
1819,benthic_count_TRIBE,TRIBE,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate Count,Tribe of taxon,TAXA: Invertebrates,,,,Single metadata definition,benthic_count,1,1
1819,benthic_count_UID,UID,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate Count,Unique identifier for the site/visit,,,,,Single metadata definition,benthic_count,15,1
1819,benthic_count_UNIQUE_ID,UNIQUE_ID,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate Count,Unique site ID based on location that does not depend on year sampled or any other factor. Form is NRS_ss_nnnnn where ss state and nnnnn is number that starts at 10001. No missing values allowed.,,,,,Single metadata definition,benthic_count,7,1
1819,benthic_count_VISIT_NO,VISIT_NO,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate Count,Sequential number of visit to site,VERIF,|1|2|R,,,Single metadata definition,benthic_count,15,1
1819,benthic_mmi_AG_ECO9,AG_ECO9,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate MMI,"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions",DESIGN,CPL|NAP|NPL|SAP|SPL|TPL|UMW|WMT|XER|,,,Single metadata definition,benthic_mmi,11,1
1819,benthic_mmi_BENT_MMI_COND,BENT_MMI_COND,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate MMI,Condition class based on benthic MMI score,BERW,Good|Fair|Poor|Not Assessed,,,Same label appears for multiple sample/record types,benthic_mmi,2,2
1819,benthic_mmi_COMP_PT,COMP_PT,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate MMI,Metric score for composition metric,BERW,numeric,,,Single metadata definition,benthic_mmi,1,1
1819,benthic_mmi_DATE_COL,DATE_COL,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate MMI,Date collected,VERIF,|01|02|03|04|05|06|07|08|09|10|11|12,,,Single metadata definition,benthic_mmi,15,1
1819,benthic_mmi_DIVS_PT,DIVS_PT,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate MMI,Metric score for diversity metric,BERW,numeric,,,Single metadata definition,benthic_mmi,1,1
1819,benthic_mmi_EPA_REG,EPA_REG,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate MMI,EPA Region,DESIGN,Region_01|Region_02|Region_03|Region_04|Region_05|Region_06|Region_07|Region_08|Region_09|Region_10|,,,Single metadata definition,benthic_mmi,10,1
1819,benthic_mmi_FEED_PT,FEED_PT,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate MMI,Metric score for functional feeding group,BERW,numeric,,,Single metadata definition,benthic_mmi,1,1
1819,benthic_mmi_HABT_PT,HABT_PT,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate MMI,Metric score for habit,BERW,numeric,,,Single metadata definition,benthic_mmi,1,1
1819,benthic_mmi_MMI_BENT,MMI_BENT,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate MMI,Benthic MMI score,BERW,numeric,,,Single metadata definition,benthic_mmi,1,1
1819,benthic_mmi_RICH_PT,RICH_PT,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate MMI,Metric score for taxa richness,BERW,numeric,,,Single metadata definition,benthic_mmi,1,1
1819,benthic_mmi_SAMPLE_TYPE,SAMPLE_TYPE,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate MMI,Code identifying sample type,,,,,Single metadata definition,benthic_mmi,9,1
1819,benthic_mmi_SITE_ID,SITE_ID,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate MMI,"Site ID for the study and year sampled. Preferred form is NRSnn_MM-xxxxx where nn is current cycle year (04, 08, 13, 18, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. Text. No missing values allowed. | Identification code for site",DESIGN | VERIF,,,,Multiple protocol-specific labels — see Metadata Detail,benthic_mmi,16,2
1819,benthic_mmi_SITESAMP,SITESAMP,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate MMI,Did you sample this site (Y/N),VERIF,|Y|N,,,Single metadata definition,benthic_mmi,3,1
1819,benthic_mmi_STATE,STATE,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate MMI,State,VERIF,|AK|AL|AR|AZ|CA|CO|CT|DC|DE|FL|GA|HI|IA|ID|IL|IN|KS|KY|LA|MA|MD|ME|MI|MN|MO|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OK|OR|PA|RI|SC|SD|TN|TX|UT|VA|VT|WA|WI|WV|WY,,,Single metadata definition,benthic_mmi,13,1
1819,benthic_mmi_TOLR_PT,TOLR_PT,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate MMI,Metric score for tolerance metric,BERW,numeric,,,Single metadata definition,benthic_mmi,1,1
1819,benthic_mmi_UID,UID,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate MMI,Unique identifier for the site/visit,,,,,Single metadata definition,benthic_mmi,15,1
1819,benthic_mmi_UNIQUE_ID,UNIQUE_ID,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate MMI,Unique site ID based on location that does not depend on year sampled or any other factor. Form is NRS_ss_nnnnn where ss state and nnnnn is number that starts at 10001. No missing values allowed.,,,,,Single metadata definition,benthic_mmi,7,1
1819,benthic_mmi_VISIT_NO,VISIT_NO,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate MMI,Sequential number of visit to site,VERIF,|1|2|R,,,Single metadata definition,benthic_mmi,15,1
1819,fish_hg_ANALYST,ANALYST,Fish,NRSA 1819 Mercury in Fish Tissue Plugs,Laboratory analyst,FPLG,,,,Single metadata definition,fish_hg,2,1
1819,fish_hg_ANALYTE,ANALYTE,Fish,NRSA 1819 Mercury in Fish Tissue Plugs,Analyte,COLUMN,,,,Single metadata definition,fish_hg,4,1
1819,fish_hg_ARRIVAL_TEMP,ARRIVAL_TEMP,Fish,NRSA 1819 Mercury in Fish Tissue Plugs,Temperature upon arrival at lab,FPLG,,,,Single metadata definition,fish_hg,1,1
1819,fish_hg_BATCH_ID,BATCH_ID,Fish,NRSA 1819 Mercury in Fish Tissue Plugs,Laboratory batch number,COLUMN,,,,Single metadata definition,fish_hg,4,1
1819,fish_hg_CAS_NO,CAS_NO,Fish,NRSA 1819 Mercury in Fish Tissue Plugs,Chemical Abstracts Service number,FPLG,,,,Single metadata definition,fish_hg,1,1
1819,fish_hg_CONDITION_CODE,CONDITION_CODE,Fish,NRSA 1819 Mercury in Fish Tissue Plugs,Condition of sample code,FPLG,,,,Single metadata definition,fish_hg,2,1
1819,fish_hg_DATE_COL,DATE_COL,Fish,NRSA 1819 Mercury in Fish Tissue Plugs,Date collected,VERIF,|01|02|03|04|05|06|07|08|09|10|11|12,,,Single metadata definition,fish_hg,15,1
1819,fish_hg_DATE_PROCESSED,DATE_PROCESSED,Fish,NRSA 1819 Mercury in Fish Tissue Plugs,Date sample processed,FPLG,,,,Single metadata definition,fish_hg,1,1
1819,fish_hg_DILUTION,DILUTION,Fish,NRSA 1819 Mercury in Fish Tissue Plugs,Dilution of sample,FPLG,,,,Single metadata definition,fish_hg,1,1
1819,fish_hg_INSTRUMENT,INSTRUMENT,Fish,NRSA 1819 Mercury in Fish Tissue Plugs,Instrument used,FPLG,,,,Single metadata definition,fish_hg,1,1
1819,fish_hg_LAB,LAB,Fish,NRSA 1819 Mercury in Fish Tissue Plugs,Laboratory processing sample,COLUMN,,,,Single metadata definition,fish_hg,6,1
1819,fish_hg_LAB_SAMPLE_ID,LAB_SAMPLE_ID,Fish,NRSA 1819 Mercury in Fish Tissue Plugs,Laboratory sample ID,FPLG,,,,Single metadata definition,fish_hg,3,1
1819,fish_hg_MATRIX,MATRIX,Fish,NRSA 1819 Mercury in Fish Tissue Plugs,Material used for analysis,COLUMN,,,,Single metadata definition,fish_hg,6,1
1819,fish_hg_MDL,MDL,Fish,NRSA 1819 Mercury in Fish Tissue Plugs,Minimum Detection Limit,FPLG,,,,Single metadata definition,fish_hg,4,1
1819,fish_hg_METHOD,METHOD,Fish,NRSA 1819 Mercury in Fish Tissue Plugs,,FPLG,|ELECTROFISH|HOOK|SEINE|OTHER,,,Single metadata definition,fish_hg,1,1
1819,fish_hg_NAME_COM,NAME_COM,Fish,NRSA 1819 Mercury in Fish Tissue Plugs,FPLG_NAME_COM,FPLG,,,,Single metadata definition,fish_hg,1,1
1819,fish_hg_PUBLICATION_DATE,PUBLICATION_DATE,Fish,NRSA 1819 Mercury in Fish Tissue Plugs,Date the dataset was published to the NARS site,COLUMN,,,,Single metadata definition,fish_hg,12,1
1819,fish_hg_RESULT,RESULT,Fish,NRSA 1819 Mercury in Fish Tissue Plugs,Value of associated parameter,COLUMN,,,,Single metadata definition,fish_hg,5,1
1819,fish_hg_RL,RL,Fish,NRSA 1819 Mercury in Fish Tissue Plugs,Reporting Limit,FPLG,,,,Single metadata definition,fish_hg,4,1
1819,fish_hg_SAM_CODE,SAM_CODE,Fish,NRSA 1819 Mercury in Fish Tissue Plugs,Sample code (Regular/Lab duplicate/Lab split),COLUMN,,,,Single metadata definition,fish_hg,6,1
1819,fish_hg_SAMPLE_ID,SAMPLE_ID,Fish,NRSA 1819 Mercury in Fish Tissue Plugs,FPLG_SAMPLE_ID,FPLG,,,,Single metadata definition,fish_hg,3,1
1819,fish_hg_SAMPLE_TYPE,SAMPLE_TYPE,Fish,NRSA 1819 Mercury in Fish Tissue Plugs,Code identifying sample type,COLUMN,,,,Single metadata definition,fish_hg,9,1
1819,fish_hg_SITE_ID,SITE_ID,Fish,NRSA 1819 Mercury in Fish Tissue Plugs,Identification code for site,VERIF,,,,Single metadata definition,fish_hg,16,1
1819,fish_hg_STATE,STATE,Fish,NRSA 1819 Mercury in Fish Tissue Plugs,State,VERIF,|AK|AL|AR|AZ|CA|CO|CT|DC|DE|FL|GA|HI|IA|ID|IL|IN|KS|KY|LA|MA|MD|ME|MI|MN|MO|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OK|OR|PA|RI|SC|SD|TN|TX|UT|VA|VT|WA|WI|WV|WY,,,Single metadata definition,fish_hg,13,1
1819,fish_hg_UID,UID,Fish,NRSA 1819 Mercury in Fish Tissue Plugs,Unique identifier for the site/visit,COLUMN,,,,Single metadata definition,fish_hg,15,1
1819,fish_hg_UNITS,UNITS,Fish,NRSA 1819 Mercury in Fish Tissue Plugs,Units of measurement,COLUMN,,,,Single metadata definition,fish_hg,2,1
1819,fish_hg_VISIT_NO,VISIT_NO,Fish,NRSA 1819 Mercury in Fish Tissue Plugs,Sequential number of visit to site,VERIF,|1|2|R,,,Single metadata definition,fish_hg,15,1
1819,fish_sampling_CONDUCTIVITY,CONDUCTIVITY,Fish,NRSA 1819 Fish Sampling Information,Conductivity (uS/cm),FISH,,,,Single metadata definition,fish_sampling,1,1
1819,fish_sampling_CORRECTED,CORRECTED,Fish,NRSA 1819 Fish Sampling Information,Corrected to 25C,FISH,|Y|N,,,Single metadata definition,fish_sampling,1,1
1819,fish_sampling_DATE_COL,DATE_COL,Fish,NRSA 1819 Fish Sampling Information,Date collected,VERIF,|01|02|03|04|05|06|07|08|09|10|11|12,,,Single metadata definition,fish_sampling,15,1
1819,fish_sampling_FISH_PROTOCOL,FISH_PROTOCOL,Fish,NRSA 1819 Fish Sampling Information,Fish Sampling Protocol,FISH,|LG_NONWADEABLE|LG_WADEABLE|SM_NONWADEABLE|SM_WADEABLE,,,Single metadata definition,fish_sampling,1,1
1819,fish_sampling_FISH_PROTOCOL_FLAG,FISH_PROTOCOL_FLAG,Fish,NRSA 1819 Fish Sampling Information,Flag associated with Fish Sampling Protocol,FISH,,,,Single metadata definition,fish_sampling,1,1
1819,fish_sampling_FISH_RESPONSE,FISH_RESPONSE,Fish,NRSA 1819 Fish Sampling Information,How did fish respond to electrofishing?,FISH,|IMMOBILE|INHIBITED|ESCAPE,,,Single metadata definition,fish_sampling,1,1
1819,fish_sampling_FISH_SAMPLING,FISH_SAMPLING,Fish,NRSA 1819 Fish Sampling Information,Fish Sampling - Not Conducted or Suspended,FISH,|NO_FISH|NOT_FISHED_REACH_MIN|NO_PERMIT|SITE_CONDITIONS|PERMIT_RESTRICT|EQUIPMENT_FAILURE|NO_FISH_OBSERVED,,,Single metadata definition,fish_sampling,1,1
1819,fish_sampling_FISH_SAMPLING_FLAG,FISH_SAMPLING_FLAG,Fish,NRSA 1819 Fish Sampling Information,Flag associated with Fish Sampling - Not Conducted or Suspended,FISH,,,,Single metadata definition,fish_sampling,1,1
1819,fish_sampling_FISH_SAMPLING_SUFFICIENT,FISH_SAMPLING_SUFFICIENT,Fish,NRSA 1819 Fish Sampling Information,Did conditions allow for sufficient sampling?,FISH,|Y|N|NOT_SURE,,,Single metadata definition,fish_sampling,1,1
1819,fish_sampling_FISHGEAR_REVIEW,FISHGEAR_REVIEW,Fish,NRSA 1819 Fish Sampling Information,FISHGEAR_REVIEW,FISH,|Y,,,Single metadata definition,fish_sampling,1,1
1819,fish_sampling_HIGH_GRADIENT,HIGH_GRADIENT,Fish,NRSA 1819 Fish Sampling Information,Fast flowing high gradient site,FISH,|Y,,,Single metadata definition,fish_sampling,1,1
1819,fish_sampling_PRIM_AMPS,PRIM_AMPS,Fish,NRSA 1819 Fish Sampling Information,Amps,FISH,,,,Single metadata definition,fish_sampling,1,1
1819,fish_sampling_PRIM_AMPS_FLAG,PRIM_AMPS_FLAG,Fish,NRSA 1819 Fish Sampling Information,Flag associated with Amps,FISH,,,,Single metadata definition,fish_sampling,1,1
1819,fish_sampling_PRIM_ANODE,PRIM_ANODE,Fish,NRSA 1819 Fish Sampling Information,Anodes Number,FISH,,0.0,30.0,Single metadata definition,fish_sampling,1,1
1819,fish_sampling_PRIM_ANODE_FLAG,PRIM_ANODE_FLAG,Fish,NRSA 1819 Fish Sampling Information,Flag associated with Anodes Number,FISH,,,,Single metadata definition,fish_sampling,1,1
1819,fish_sampling_PRIM_AVG_HAUL,PRIM_AVG_HAUL,Fish,NRSA 1819 Fish Sampling Information,Average Haul Length (m),FISH,,,,Single metadata definition,fish_sampling,1,1
1819,fish_sampling_PRIM_AVG_HAUL_FLAG,PRIM_AVG_HAUL_FLAG,Fish,NRSA 1819 Fish Sampling Information,Flag associated with Average Haul Length (m),FISH,,,,Single metadata definition,fish_sampling,1,1
1819,fish_sampling_PRIM_CREW,PRIM_CREW,Fish,NRSA 1819 Fish Sampling Information,Number of crew members,FISH,,0.0,10.0,Single metadata definition,fish_sampling,1,1
1819,fish_sampling_PRIM_CREW_FLAG,PRIM_CREW_FLAG,Fish,NRSA 1819 Fish Sampling Information,Flag associated with Number of crew members,FISH,,,,Single metadata definition,fish_sampling,1,1
1819,fish_sampling_PRIM_FSHTIME,PRIM_FSHTIME,Fish,NRSA 1819 Fish Sampling Information,Total Fishing Time (min),FISH,,,,Single metadata definition,fish_sampling,1,1
1819,fish_sampling_PRIM_FSHTIME_FLAG,PRIM_FSHTIME_FLAG,Fish,NRSA 1819 Fish Sampling Information,Flag associated with Total Fishing Time (min),FISH,,,,Single metadata definition,fish_sampling,1,1
1819,fish_sampling_PRIM_GEAR,PRIM_GEAR,Fish,NRSA 1819 Fish Sampling Information,Primary Electrofishing Gear,FISH,|BOAT|RAFT|BACKPACK|BARGE,,,Single metadata definition,fish_sampling,1,1
1819,fish_sampling_PRIM_GEAR_FLAG,PRIM_GEAR_FLAG,Fish,NRSA 1819 Fish Sampling Information,Flag associated with Primary Electrofishing Gear,FISH,,,,Single metadata definition,fish_sampling,1,1
1819,fish_sampling_PRIM_HAULS,PRIM_HAULS,Fish,NRSA 1819 Fish Sampling Information,Number of hauls,FISH,,,,Single metadata definition,fish_sampling,1,1
