cycle,source_dataset,indicator,database_style_key,epa_short_name,epa_label_description,boatable_label,wadeable_label,sample_or_record_type,legal_values_format,range_low,range_high,metadata_name_column,convenience_prefix
1819,NRSA 1819 Benthic Macroinvertebrate Count,Benthic Macroinvertebrates,benthic_count_IS_DISTINCT,IS_DISTINCT,Distinctness of taxon within sample,,,BERW,0|1,,,COLUMN_NAME,benthic_count
1819,NRSA 1819 Benthic Macroinvertebrate Count,Benthic Macroinvertebrates,benthic_count_IS_DISTINCT,IS_DISTINCT,Distinctness of taxon within sample,,,BETB,0|1,,,COLUMN_NAME,benthic_count
1819,NRSA 1819 Benthic Macroinvertebrate Count,Benthic Macroinvertebrates,benthic_count_IS_DISTINCT300,IS_DISTINCT300,Distinctness in 300 organism subsample,,,BERW,0|1,,,COLUMN_NAME,benthic_count
1819,NRSA 1819 Benthic Macroinvertebrate Count,Benthic Macroinvertebrates,benthic_count_IS_DISTINCT300,IS_DISTINCT300,Distinctness in 300 organism subsample,,,BETB,0|1,,,COLUMN_NAME,benthic_count
1819,NRSA 1819 Benthic Macroinvertebrate Count,Benthic Macroinvertebrates,benthic_count_NON_TARGET,NON_TARGET,Operational taxon unit for NRSA O/E,,,TAXA: Invertebrates,,,,COLUMN_NAME,benthic_count
1819,NRSA 1819 Benthic Macroinvertebrate Count,Benthic Macroinvertebrates,benthic_count_ORDER,ORDER,Order of taxon,,,TAXA: Invertebrates,,,,COLUMN_NAME,benthic_count
1819,NRSA 1819 Benthic Macroinvertebrate Count,Benthic Macroinvertebrates,benthic_count_PHYLUM,PHYLUM,Phylum of taxon,,,TAXA: Invertebrates,,,,COLUMN_NAME,benthic_count
1819,NRSA 1819 Benthic Macroinvertebrate Count,Benthic Macroinvertebrates,benthic_count_PTV,PTV,Pollution tolerance value as assigned for NWSA,,,TAXA: Invertebrates,,,,COLUMN_NAME,benthic_count
1819,NRSA 1819 Benthic Macroinvertebrate Count,Benthic Macroinvertebrates,benthic_count_SAMPLE_TYPE,SAMPLE_TYPE,Code identifying sample type,,,,,,,COLUMN_NAME,benthic_count
1819,NRSA 1819 Benthic Macroinvertebrate Count,Benthic Macroinvertebrates,benthic_count_SITE_ID,SITE_ID,"Site ID for the study and year sampled. Preferred form is NRSnn_MM-xxxxx where nn is current cycle year (04, 08, 13, 18, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. Text. No missing values allowed.",,,DESIGN,,,,COLUMN_NAME,benthic_count
1819,NRSA 1819 Benthic Macroinvertebrate Count,Benthic Macroinvertebrates,benthic_count_SITE_ID,SITE_ID,Identification code for site,,,VERIF,,,,COLUMN_NAME,benthic_count
1819,NRSA 1819 Benthic Macroinvertebrate Count,Benthic Macroinvertebrates,benthic_count_SITESAMP,SITESAMP,Did you sample this site (Y/N),,,VERIF,|Y|N,,,COLUMN_NAME,benthic_count
1819,NRSA 1819 Benthic Macroinvertebrate Count,Benthic Macroinvertebrates,benthic_count_STATE,STATE,State,,,VERIF,|AK|AL|AR|AZ|CA|CO|CT|DC|DE|FL|GA|HI|IA|ID|IL|IN|KS|KY|LA|MA|MD|ME|MI|MN|MO|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OK|OR|PA|RI|SC|SD|TN|TX|UT|VA|VT|WA|WI|WV|WY,,,COLUMN_NAME,benthic_count
1819,NRSA 1819 Benthic Macroinvertebrate Count,Benthic Macroinvertebrates,benthic_count_SUBFAMILY,SUBFAMILY,Subfamily of taxon,,,TAXA: Invertebrates,,,,COLUMN_NAME,benthic_count
1819,NRSA 1819 Benthic Macroinvertebrate Count,Benthic Macroinvertebrates,benthic_count_TARGET_TAXON,TARGET_TAXON,Taxaname at target hierarchical taxonomic level,,,BENT,,,,COLUMN_NAME,benthic_count
1819,NRSA 1819 Benthic Macroinvertebrate Count,Benthic Macroinvertebrates,benthic_count_TAXA_ID,TAXA_ID,NLA Taxon ID number,,,,,,,COLUMN_NAME,benthic_count
1819,NRSA 1819 Benthic Macroinvertebrate Count,Benthic Macroinvertebrates,benthic_count_TOTAL,TOTAL,Total number of individuals counted,,,BENT,,,,COLUMN_NAME,benthic_count
1819,NRSA 1819 Benthic Macroinvertebrate Count,Benthic Macroinvertebrates,benthic_count_TOTAL,TOTAL,Total number of individuals sorted for given taxon,,,BERW,,,,COLUMN_NAME,benthic_count
1819,NRSA 1819 Benthic Macroinvertebrate Count,Benthic Macroinvertebrates,benthic_count_TOTAL,TOTAL,Total number of individuals sorted for given taxon,,,BETB,,,,COLUMN_NAME,benthic_count
1819,NRSA 1819 Benthic Macroinvertebrate Count,Benthic Macroinvertebrates,benthic_count_TOTAL300,TOTAL300,Total of given taxon using subsampling.exe for 300 organism subsample,,,BERW,,,,COLUMN_NAME,benthic_count
1819,NRSA 1819 Benthic Macroinvertebrate Count,Benthic Macroinvertebrates,benthic_count_TOTAL300,TOTAL300,Total of given taxon using subsampling.exe for 300 organism subsample,,,BETB,,,,COLUMN_NAME,benthic_count
1819,NRSA 1819 Benthic Macroinvertebrate Count,Benthic Macroinvertebrates,benthic_count_TRIBE,TRIBE,Tribe of taxon,,,TAXA: Invertebrates,,,,COLUMN_NAME,benthic_count
1819,NRSA 1819 Benthic Macroinvertebrate Count,Benthic Macroinvertebrates,benthic_count_UID,UID,Unique identifier for the site/visit,,,,,,,COLUMN_NAME,benthic_count
1819,NRSA 1819 Benthic Macroinvertebrate Count,Benthic Macroinvertebrates,benthic_count_UNIQUE_ID,UNIQUE_ID,Unique site ID based on location that does not depend on year sampled or any other factor. Form is NRS_ss_nnnnn where ss state and nnnnn is number that starts at 10001. No missing values allowed.,,,,,,,COLUMN_NAME,benthic_count
1819,NRSA 1819 Benthic Macroinvertebrate Count,Benthic Macroinvertebrates,benthic_count_VISIT_NO,VISIT_NO,Sequential number of visit to site,,,VERIF,|1|2|R,,,COLUMN_NAME,benthic_count
1819,NRSA 1819 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_AG_ECO9,AG_ECO9,"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions",,,DESIGN,CPL|NAP|NPL|SAP|SPL|TPL|UMW|WMT|XER|,,,COLUMN_NAME,benthic_mmi
1819,NRSA 1819 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_BENT_MMI_COND,BENT_MMI_COND,Condition class based on benthic MMI score,,,BERW,Good|Fair|Poor|Not Assessed,,,COLUMN_NAME,benthic_mmi
1819,NRSA 1819 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_BENT_MMI_COND,BENT_MMI_COND,Condition class based on benthic MMI score,,,BERW,Good|Fair|Poor|Not Assessed,,,COLUMN_NAME,benthic_mmi
1819,NRSA 1819 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_COMP_PT,COMP_PT,Metric score for composition metric,,,BERW,numeric,,,COLUMN_NAME,benthic_mmi
1819,NRSA 1819 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_DATE_COL,DATE_COL,Date collected,,,VERIF,|01|02|03|04|05|06|07|08|09|10|11|12,,,COLUMN_NAME,benthic_mmi
1819,NRSA 1819 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_DIVS_PT,DIVS_PT,Metric score for diversity metric,,,BERW,numeric,,,COLUMN_NAME,benthic_mmi
1819,NRSA 1819 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_EPA_REG,EPA_REG,EPA Region,,,DESIGN,Region_01|Region_02|Region_03|Region_04|Region_05|Region_06|Region_07|Region_08|Region_09|Region_10|,,,COLUMN_NAME,benthic_mmi
1819,NRSA 1819 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_FEED_PT,FEED_PT,Metric score for functional feeding group,,,BERW,numeric,,,COLUMN_NAME,benthic_mmi
1819,NRSA 1819 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_HABT_PT,HABT_PT,Metric score for habit,,,BERW,numeric,,,COLUMN_NAME,benthic_mmi
1819,NRSA 1819 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_MMI_BENT,MMI_BENT,Benthic MMI score,,,BERW,numeric,,,COLUMN_NAME,benthic_mmi
1819,NRSA 1819 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_RICH_PT,RICH_PT,Metric score for taxa richness,,,BERW,numeric,,,COLUMN_NAME,benthic_mmi
1819,NRSA 1819 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_SAMPLE_TYPE,SAMPLE_TYPE,Code identifying sample type,,,,,,,COLUMN_NAME,benthic_mmi
1819,NRSA 1819 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_SITE_ID,SITE_ID,"Site ID for the study and year sampled. Preferred form is NRSnn_MM-xxxxx where nn is current cycle year (04, 08, 13, 18, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. Text. No missing values allowed.",,,DESIGN,,,,COLUMN_NAME,benthic_mmi
1819,NRSA 1819 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_SITE_ID,SITE_ID,Identification code for site,,,VERIF,,,,COLUMN_NAME,benthic_mmi
1819,NRSA 1819 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_SITESAMP,SITESAMP,Did you sample this site (Y/N),,,VERIF,|Y|N,,,COLUMN_NAME,benthic_mmi
1819,NRSA 1819 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_STATE,STATE,State,,,VERIF,|AK|AL|AR|AZ|CA|CO|CT|DC|DE|FL|GA|HI|IA|ID|IL|IN|KS|KY|LA|MA|MD|ME|MI|MN|MO|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OK|OR|PA|RI|SC|SD|TN|TX|UT|VA|VT|WA|WI|WV|WY,,,COLUMN_NAME,benthic_mmi
1819,NRSA 1819 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_TOLR_PT,TOLR_PT,Metric score for tolerance metric,,,BERW,numeric,,,COLUMN_NAME,benthic_mmi
1819,NRSA 1819 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_UID,UID,Unique identifier for the site/visit,,,,,,,COLUMN_NAME,benthic_mmi
1819,NRSA 1819 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_UNIQUE_ID,UNIQUE_ID,Unique site ID based on location that does not depend on year sampled or any other factor. Form is NRS_ss_nnnnn where ss state and nnnnn is number that starts at 10001. No missing values allowed.,,,,,,,COLUMN_NAME,benthic_mmi
1819,NRSA 1819 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_VISIT_NO,VISIT_NO,Sequential number of visit to site,,,VERIF,|1|2|R,,,COLUMN_NAME,benthic_mmi
1819,NRSA 1819 Mercury in Fish Tissue Plugs,Fish,fish_hg_ANALYST,ANALYST,Laboratory analyst,,,FPLG,,,,PARAMETER,fish_hg
1819,NRSA 1819 Mercury in Fish Tissue Plugs,Fish,fish_hg_ANALYTE,ANALYTE,Analyte,,,COLUMN,,,,PARAMETER,fish_hg
