cycle,database_style_key,epa_short_name,indicator,source_dataset,epa_definition_what_it_measures,definition_source,sample_or_record_type_s,units,legal_values_format,range_low,range_high,definition_status,convenience_prefix,appears_in_count_datasets,metadata_record_count
1314,keyvars_NRS13_VST,NRS13_VST,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Number of times NRSA 2013/14 site was actually sampled in 2013/14,2013–2014 EPA metadata,DESIGN,,Zero | One | Two Blank is site not evaluated,,,Single metadata definition,keyvars,2,1
1314,keyvars_NTL_COND,NTL_COND,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Site condition class based on total nitrogen concentration,2013–2014 EPA metadata,CHEM,,Good|Fair|Poor|No Data,,,Single metadata definition,keyvars,1,1
1314,keyvars_NTL_UG_L,NTL_UG_L,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Total Nitrogen - UG N/L,2013–2014 EPA metadata,CHEM,,,,,Single metadata definition,keyvars,2,1
1314,keyvars_OE_COND,OE_COND,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Condition class based on O/E score,2013–2014 EPA metadata,BERW | BETB,,<0.5|<0.8|<0.9|>=0.9,,,Same label appears for multiple sample/record types,keyvars,1,2
1314,keyvars_OE_SCORE,OE_SCORE,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,O/E score for benthic sample,2013–2014 EPA metadata,BERW | BETB,,,0.0,,Same label appears for multiple sample/record types,keyvars,2,2
1314,keyvars_PH,PH,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,pH - STD. UNITS | PH,2013–2014 EPA metadata,CHEM | FIELDMEAS,,,1.0,14.0,Multiple protocol-specific labels — see Metadata Detail,keyvars,2,2
1314,keyvars_PTL,PTL,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Total Phosphorus - UG/L,2013–2014 EPA metadata,CHEM,,,,,Single metadata definition,keyvars,2,1
1314,keyvars_PTL_COND,PTL_COND,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Site condition class based on total phosphorus concentration,2013–2014 EPA metadata,CHEM,,Good|Fair|Poor|No Data,,,Single metadata definition,keyvars,1,1
1314,keyvars_PUBLICATION_DATE,PUBLICATION_DATE,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Date of data file publication,2013–2014 EPA metadata,,,,,,Single metadata definition,keyvars,9,1
1314,keyvars_RIPDIST_COND,RIPDIST_COND,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,"Riparian disturbance condition, based on W1_HALL",2013–2014 EPA metadata,PHAB,,Low|Medium|High|Not Assessed,,,Single metadata definition,keyvars,1,1
1314,keyvars_RIPVEG_COND,RIPVEG_COND,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,"Riparian vegetation condition, based on L_XCMGW",2013–2014 EPA metadata,PHAB,,Good|Fair|Poor|Not Assessed,,,Single metadata definition,keyvars,1,1
1314,keyvars_SAL_COND,SAL_COND,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Site condition class based on conductivity,2013–2014 EPA metadata,CHEM,,Good|Fair|Poor|No Data,,,Single metadata definition,keyvars,1,1
1314,keyvars_SITE_ID,SITE_ID,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Site ID | Unique Site ID assigned for NRSA13-14 | NRSA site id as used on sample label,2013–2014 EPA metadata,LANDSCAPE | PERI | VERIF,,,,,Multiple protocol-specific labels — see Metadata Detail,keyvars,14,4
1314,keyvars_STRAH_CAT,STRAH_CAT,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Strahler category used to classify reaches. RiversMajor (5th and higher) RiversOther (5th and higher) LargeStreams (3rd and 4th) SmallStreams (1st and 2nd),2013–2014 EPA metadata,DESIGN,,RiversMajor | RiversOther | LargeStreams | SmallStreams,,,Single metadata definition,keyvars,2,1
1314,keyvars_UID,UID,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Unique site visit ID,2013–2014 EPA metadata,,,,,,Single metadata definition,keyvars,15,1
1314,keyvars_VISIT_NO,VISIT_NO,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Number identifying which visit this is,2013–2014 EPA metadata,VERIF,,|1|2,,,Same label appears for multiple sample/record types,keyvars,14,2
1314,keyvars_W1_HALL,W1_HALL,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Human Disturbance Index(distance-wtd tally of types and presence used for condition | Human Disturbance Index(distance-wtd tally of types and presence,2013–2014 EPA metadata,PHAB | PHab boatable: human disturbance | PHab wadeable: human disturbance,,,,,Multiple protocol-specific labels — see Metadata Detail,keyvars,4,3
1314,keyvars_WGT_EXT_SP,WGT_EXT_SP,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Length of sampled streams represented by site in km,2013–2014 EPA metadata,DESIGN,,,,,Single metadata definition,keyvars,2,1
1314,keyvars_XCOORD,XCOORD,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,x-coordinate from US Contiguous Albers Equal Area Conic projection EXCEPT Hawaii sites which are calculated from Hawaii Albers Equal Area Conic projection,2013–2014 EPA metadata,DESIGN,,Numeric,,,Single metadata definition,keyvars,2,1
1314,keyvars_YCOORD,YCOORD,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,y-coordinate from US Contiguous Albers Equal Area Conic projection EXCEPT Hawaii sites which are calculated from Hawaii Albers Equal Area Conic projection,2013–2014 EPA metadata,DESIGN,,Numeric,,,Single metadata definition,keyvars,2,1
1314,keyvars_YEAR,YEAR,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Year of site visit.,2013–2014 EPA metadata,VERIF,,,2015.0,2013.0,Single metadata definition,keyvars,7,1
1314,algaltox_DATE_COL,DATE_COL,Algal Toxin,NRSA 1314 Microcystin,Date of data collection in field,2013–2014 EPA metadata,VERIF,,,,,Single metadata definition,algaltox,14,1
1314,algaltox_INDEX_VISIT,INDEX_VISIT,Algal Toxin,NRSA 1314 Microcystin,Index visit Y/blank,2013–2014 EPA metadata,VERIF,,,,,Single metadata definition,algaltox,10,1
