cycle,source_dataset,indicator,database_style_key,epa_short_name,epa_label_description,boatable_label,wadeable_label,sample_or_record_type,units,legal_values_format,range_low,range_high,metadata_name_column,convenience_prefix
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_YCOORD,YCOORD,y-coordinate from US Contiguous Albers Equal Area Conic projection EXCEPT Hawaii sites which are calculated from Hawaii Albers Equal Area Conic projection,,,DESIGN,,Numeric,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_YEAR,YEAR,Year of site visit.,,,VERIF,,,2015.0,2013.0,PARAMETER,keyvars
1314,NRSA 1314 Microcystin,Algal Toxin,algaltox_DATE_COL,DATE_COL,Date of data collection in field,,,VERIF,,,,,PARAMETER,algaltox
1314,NRSA 1314 Microcystin,Algal Toxin,algaltox_INDEX_VISIT,INDEX_VISIT,Index visit Y/blank,,,VERIF,,,,,PARAMETER,algaltox
1314,NRSA 1314 Microcystin,Algal Toxin,algaltox_MICX_FLAG,MICX_FLAG,Flag assigned to associated comment for Microcystin - UG/L,,,MICX,,,,,PARAMETER,algaltox
1314,NRSA 1314 Microcystin,Algal Toxin,algaltox_MICX_MDL,MICX_MDL,Minimum Detection Limit for Microcystin - UG/L,,,MICX,,,,,PARAMETER,algaltox
1314,NRSA 1314 Microcystin,Algal Toxin,algaltox_MICX_RESULT,MICX_RESULT,Result for Microcystin - UG/L,,,MICX,,,,,PARAMETER,algaltox
1314,NRSA 1314 Microcystin,Algal Toxin,algaltox_MICX_RESULT,MICX_RESULT,Value of associated parameter for Microcystin - UG/L,,,MICX,,,,,PARAMETER,algaltox
1314,NRSA 1314 Microcystin,Algal Toxin,algaltox_MICX_RL,MICX_RL,Reporting Limit for Microcystin - UG/L,,,MICX,,,,,PARAMETER,algaltox
1314,NRSA 1314 Microcystin,Algal Toxin,algaltox_SITE_ID,SITE_ID,"Site ID for the study and year sampled. Preferred form is NRSnn_MM-xxxxx where nn is current cycle year (04, 08, 13, 18, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. Text. No missing values allowed.",,,DESIGN,,,,,PARAMETER,algaltox
1314,NRSA 1314 Microcystin,Algal Toxin,algaltox_SITE_ID,SITE_ID,Unique Site ID assigned for NRSA13-14,,,LANDSCAPE,,,,,PARAMETER,algaltox
1314,NRSA 1314 Microcystin,Algal Toxin,algaltox_SITE_ID,SITE_ID,Site ID,,,VERIF,,,,,PARAMETER,algaltox
1314,NRSA 1314 Microcystin,Algal Toxin,algaltox_UID,UID,Unique site visit ID,,,,,,,,PARAMETER,algaltox
1314,NRSA 1314 Microcystin,Algal Toxin,algaltox_VISIT_NO,VISIT_NO,Number identifying which visit this is,,,VERIF,,|1|2,,,PARAMETER,algaltox
1314,NRSA 1314 Microcystin,Algal Toxin,algaltox_YEAR,YEAR,Year of sampling,,,VERIF,,,,,PARAMETER,algaltox
1314,NRSA 1314 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_AG_ECO9_NM,AG_ECO9_NM,NARS 9-level reporting region Name,,,DESIGN,,Text names,,,PARAMETER,benthic_mmi
1314,NRSA 1314 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_AG_ECO9_NM,AG_ECO9_NM,NARS 9-level reporting region name Text names. No missing values allowed.,,,DESIGN,,,,,PARAMETER,benthic_mmi
1314,NRSA 1314 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_COMP_PT,COMP_PT,Metric score for composition metric,,,BERW,,Good|Fair|Poor|Not Assessed,0.0,10.0,PARAMETER,benthic_mmi
1314,NRSA 1314 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_COMP_PT,COMP_PT,Metric score for composition metric,,,BETB,,Good|Fair|Poor|Not Assessed,0.0,10.0,PARAMETER,benthic_mmi
1314,NRSA 1314 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_DATE_COL,DATE_COL,Date of data collection in field,,,VERIF,,,,,PARAMETER,benthic_mmi
1314,NRSA 1314 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_DIVS_PT,DIVS_PT,Metric score for diversity metric,,,BERW,,Good|Fair|Poor|Not Assessed,0.0,10.0,PARAMETER,benthic_mmi
1314,NRSA 1314 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_DIVS_PT,DIVS_PT,Metric score for diversity metric,,,BETB,,Good|Fair|Poor|Not Assessed,0.0,10.0,PARAMETER,benthic_mmi
1314,NRSA 1314 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_FEED_PT,FEED_PT,Metric score for functional feeding group,,,BERW,,Good|Fair|Poor|Not Assessed,0.0,10.0,PARAMETER,benthic_mmi
1314,NRSA 1314 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_FEED_PT,FEED_PT,Metric score for functional feeding group,,,BETB,,Good|Fair|Poor|Not Assessed,0.0,10.0,PARAMETER,benthic_mmi
1314,NRSA 1314 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_HABT_PT,HABT_PT,Metric score for habit,,,BERW,,Good|Fair|Poor|Not Assessed,0.0,10.0,PARAMETER,benthic_mmi
1314,NRSA 1314 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_HABT_PT,HABT_PT,Metric score for habit,,,BETB,,Good|Fair|Poor|Not Assessed,0.0,10.0,PARAMETER,benthic_mmi
1314,NRSA 1314 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_INDEX_VISIT,INDEX_VISIT,Index visit Y/blank,,,VERIF,,,,,PARAMETER,benthic_mmi
1314,NRSA 1314 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_LAT_DD83,LAT_DD83,Latitude (based on NAD83 datum) for stream site from NHD-based sample frame.,,,DESIGN,,Numeric,,,PARAMETER,benthic_mmi
1314,NRSA 1314 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_LAT_DD83,LAT_DD83,Latitude (based on NAD83 datum) for stream site from NHDPlusV2 Numeric. No missing values allowed.,,,DESIGN,,,,,PARAMETER,benthic_mmi
1314,NRSA 1314 Benthic Macroinvertebrate MMI,Benthic Macroinvertebrates,benthic_mmi_LON_DD83,LON_DD83,Longitude (based on NAD83 datum) for stream site from NHD-based sample frame.,,,DESIGN,,Numeric,,,PARAMETER,benthic_mmi
